Trial-ID,Status,Iteration,batch_size,dataset,epochs,gpus,lr,max_concurrent,max_layers,model,num_layers,patience,save_type,Objective,acc,loss,val_acc,val_loss
9,INTERMEDIATE,1,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10201666666666667,14.421563885498047,0.101,14.490167555236816
9,INTERMEDIATE,2,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094609069825,0.101,14.490167555236816
9,INTERMEDIATE,3,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094515482585,0.101,14.490167555236816
9,INTERMEDIATE,4,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333730698,14.471094616190593,0.101,14.490167555236816
9,INTERMEDIATE,5,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094555155437,0.101,14.490167555236816
9,INTERMEDIATE,6,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094539896647,0.101,14.490167555236816
9,INTERMEDIATE,7,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094634501139,0.101,14.490167555236816
9,INTERMEDIATE,8,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333730698,14.471094624328613,0.101,14.490167555236816
9,INTERMEDIATE,9,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094499206544,0.101,14.490167555236816
9,INTERMEDIATE,10,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.1021833333293597,14.471094621276855,0.101,14.490167555236816
9,INTERMEDIATE,11,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333532016,14.471094559224447,0.101,14.490167555236816
9,INTERMEDIATE,12,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333334128062,14.47109450937907,0.101,14.490167555236816
9,INTERMEDIATE,13,256,mnist,100,"0,1,2,3",0.1,12,3,cnn,3,25,json,14.490167555236816,0.10218333333333333,14.471094594828287,0.101,14.490167555236816
