fold,epoch,model,aug_type,aug,vcp,loss,val_loss,acc,val_acc,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
0,1,cnn,translation,0.0,0.0,0.23854219277061087,0.07368324260200773,0.9308804535017221,0.9779285717010499,0.31452546296296297,0.9736689814814815,0.9762731481481481,0.8086660879629629,0.49602141203703703,,,,
0,2,cnn,translation,0.0,0.0,0.05593453844245758,0.0537975418312209,0.9820608496665955,0.9827857146263123,0.35300925925925924,0.9803964120370371,0.9817708333333334,0.8527922453703703,0.42679398148148145,,,,
0,3,cnn,translation,0.0,0.0,0.035076252872340306,0.04728492828777858,0.988716274465677,0.985785714490073,0.35908564814814814,0.9849537037037037,0.9860387731481481,0.8425925925925926,0.40306712962962965,,,,
0,4,cnn,translation,0.0,0.0,0.023996584107789258,0.04006405845710209,0.9922323478760046,0.988214285850525,0.36624710648148145,0.9861111111111112,0.98828125,0.8430266203703703,0.45883969907407407,,,,
0,5,cnn,translation,0.0,0.0,0.01791453933991261,0.03734598527635847,0.9942056544202067,0.9884285716329302,0.37601273148148145,0.9869068287037037,0.9887152777777778,0.8477285879629629,0.45949074074074076,,,,
0,6,cnn,translation,0.0,0.0,0.013658862776442696,0.043426632919481824,0.9956946039719916,0.9885714286395482,0.37290219907407407,0.9843026620370371,0.9893663194444444,0.8522858796296297,0.46997974537037035,,,,
0,7,cnn,translation,0.0,0.0,0.010577478383381207,0.04723496621421405,0.9964659873708381,0.988142857347216,0.37745949074074076,0.9861834490740741,0.9880642361111112,0.85546875,0.4223090277777778,,,,
0,8,cnn,translation,0.0,0.0,0.009655876677998167,0.05227301783646856,0.9967171354080314,0.9870714286395482,0.36552372685185186,0.9844473379629629,0.9874855324074074,0.8399884259259259,0.46513310185185186,,,,
0,9,cnn,translation,0.0,0.0,0.008639463004704197,0.050829146419252666,0.996864248853211,0.9887857143538339,0.3791232638888889,0.9871961805555556,0.98828125,0.8560474537037037,0.45015914351851855,,,,
0,10,cnn,translation,0.0,0.0,0.007753855271626869,0.04031378006402935,0.9973778736317295,0.9905000001362392,0.3706597222222222,0.98828125,0.9901620370370371,0.8559751157407407,0.4341724537037037,,,,
0,11,cnn,translation,0.0,0.0,0.007308052550897712,0.04594104624273521,0.9978856077981652,0.9885000001362392,0.3645833333333333,0.9867621527777778,0.98828125,0.8548177083333334,0.47236689814814814,,,,
0,12,cnn,translation,0.0,0.0,0.004123708454694,0.04798132579986538,0.9988146551724137,0.990214285850525,0.3640769675925926,0.9871961805555556,0.9900896990740741,0.8498987268518519,0.47453703703703703,,,,
0,13,cnn,translation,0.0,0.0,0.004643693965639578,0.05299397459413324,0.9986366245694603,0.9886428572790963,0.36357060185185186,0.9845920138888888,0.9877025462962963,0.8503327546296297,0.4233940972222222,,,,
0,14,cnn,translation,0.0,0.0,0.00613799105531613,0.04723194821072476,0.9979549368541906,0.9905000001362392,0.3821614583333333,0.9887152777777778,0.9903790509259259,0.8585792824074074,0.4216579861111111,,,,
0,15,cnn,translation,0.0,0.0,0.00622826715842147,0.056420207347188674,0.9978114236509759,0.9877857139451163,0.3644386574074074,0.9830005787037037,0.9882089120370371,0.8458478009259259,0.4153645833333333,,,,
0,16,cnn,translation,0.0,0.0,0.004038306214026952,0.04974937679831471,0.9987442594718714,0.9895714287076678,0.37319155092592593,0.9856770833333334,0.9892216435185185,0.8555410879629629,0.4186197916666667,,,,
0,17,cnn,translation,0.0,0.0,0.004532238242263054,0.05069551630424602,0.9987083811710677,0.9904285714966911,0.3699363425925926,0.9884259259259259,0.9904513888888888,0.8491030092592593,0.45240162037037035,,,,
