Trial-ID,Status,Iteration,batch_size,dataset,epochs,gpus,lr,max_concurrent,max_layers,model,num_layers,patience,save_type,Objective,acc,loss,val_acc,val_loss
7,INTERMEDIATE,32,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303079530715942,0.09828000000238418,2.3034146508026123,0.1,2.303079530715942
7,INTERMEDIATE,33,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.303209049987793,0.10022000000476837,2.303180308303833,0.1,2.303209049987793
7,INTERMEDIATE,34,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3027922340393068,0.09765999999761582,2.303419825668335,0.1,2.3027922340393068
7,INTERMEDIATE,35,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.302956121826172,0.09928,2.3032882833099366,0.1,2.302956121826172
7,INTERMEDIATE,36,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3027705337524416,0.0946,2.303583648529053,0.1,2.3027705337524416
7,INTERMEDIATE,37,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3028796630859376,0.09823999999523163,2.3033438969421387,0.1,2.3028796630859376
7,INTERMEDIATE,38,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3032703472137452,0.09828000000476837,2.3034392973327638,0.1,2.3032703472137452
7,INTERMEDIATE,39,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.30293297958374,0.09922000000238419,2.3032996461486817,0.1,2.30293297958374
7,INTERMEDIATE,40,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3033017837524414,0.10104,2.3033233692932127,0.1,2.3033017837524414
7,INTERMEDIATE,41,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3035408981323244,0.09838,2.303381199569702,0.1,2.3035408981323244
7,INTERMEDIATE,42,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3030187606811525,0.09844000000476837,2.3032912049102783,0.1,2.3030187606811525
7,INTERMEDIATE,43,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3027819717407225,0.09839999999523164,2.3034272901153563,0.1,2.3027819717407225
7,INTERMEDIATE,44,128,cifar,200,"0,1,2,3",0.01,12,3,cnn,2,50,json,2.3037790954589843,0.09908000000119209,2.303256719894409,0.1,2.3037790954589843
